"participant_id","questionnaireItem_id","answer"
48,66,Acredito que seja uma solução viável considerando a versatilidade que o dispositivo oportuniza ao usuário.
49,62,A falta de conhecimento gerou um pouco de dificuldade
49,63,Muito interessante e divertido
49,64,"Sim, tive m pouco de dificuldade em organizar as peças"
49,66,E uma boa solução para minimizar o uso de aparelhos eletrônicos
51,62,"Como tenho hérnia de disco, bursite, tendinite,  tive dificuldades motoras em controlar os objetos, mas é mais por coordenação motora mesmo"
51,63,Experiência incrível a ser explorada cientificamente e na área da educação
51,64,Só coordenação mototáxi fina mesmo
51,65,Não
51,66,Com certeza pois mescla ambiente real e virtual
52,62,Extrema sensibilidade ao toque. Difícil manter a firmeza na mão. Peças leves.
52,63,Sensação de realidade das imagens.Alta concentração.
52,64,"Muita sensibilidade do tato,"
52,65,Maior controle da sensibilidade do objeto  . Mas não sei se é possível.si
52,66,Sim.
54,62,"Senti frustração ao manipular o holograma porque as figuras não respondiam aos meus comandos, demorei muito para pegar as peças e colocá-las nos seus lugares. Isso foi cansativo e chato."
54,63,É algo novo que envolve muita interação e é muito educativo.
54,64,"Sim, a maior foi a dificuldade de manuseio das peças do quebra-cabeça."
54,65,"Como sugestão acho importante aperfeiçoar o toque das mãos nas peças, o que agilizaria o jogo e o tornaria mais divertido."
54,66,"Achei muito interessante, algo novo que tenho esperança de um dia vir a usar. Apesar de frustrado, gostei da experiência."
55,62,O braço ficou pendente causando desconforto.
55,63,Experiência nova o que faz com que o cérebro seja estimulado. Curiosidade sobre uma nova tecnologia.
55,64,Num primeiro momento tive dificuldade de entender como soltar as peças.
55,65,Nenhuma
55,66,"Considero que é uma forma diferente de interação, mas não avalio como melhor ou mais eficiente o que outra formas"
56,62,"foi possível transpassar alguns hologramas ao tentar manuseá-los, e em alguns momentos, não foi possível mover o holograma, somente era possível tocá-lo ou eventualmente transpassá-lo"
56,63,"a possibilidade de unir dois ambientes (real, material ou seja a sala ) com um ambiente totalmente virtual (inexistente do ponto de vista físico, material) foi muito boa, um ambiente de fundo totalmente escuro ou branco, monocor, creio que seja benéfico somente em casos de real necessidade de &#34;isolamento&#34; do ambiente virtual seja para concentração do usuário, por ex. a visão da sala mesmo que em preto e branco, permite que o usuário se sinta (aliás está no recinto ) real."
56,64,não
56,65,"Para esse jogo semelhante ao tetris, talvez somente um áudio ao termino de uma fase, parabenizando-o e solicitando para ir para próxima fase."
56,66,"Hologramas podem trazer soluções para reduzir/eliminar por exemplo a necessidade material de um monitor, tela de computador, porém será necessário o óculos/visor de realidade virtual, bem como poderá permitir que um usuário que esteja trabalhando em um escritório virtual (vamos considerar assim) se sinta em um ambiente de tamanho real, mesmo que esteja em um espaço reduzido. Soma-se a isso a possibilidade de visão 3D que pode ser muito útil principalmente para uso médico para cirurgias a distâncias controlando robôs por ex. E para entretimento, creio que em alguns anos teremos cinemas (se poderemos continuar chamando assim) transformados em salas onde o usuário que vai &#34;assistir&#34; a um filme ao invés da tela do cinema terá provavelmente teu proprio óculos, ou o cinema irá oferecer para que ele tenha uma filme como se ele estivesse no ambiente."
34,62,Não achei nem um problema.
34,63,Pra mim foi uma experiência maravilhosa. Pra mim foi uma novidade. Sempre queria experimentar.
34,64,Não
34,65,Não.
34,66,Não. É muito fácil aprender.
57,62,Às vezes o menu apareceu na tela sem eu ter selecionado
57,63,Jogabilidade bem acessível e funcionando excelente
57,64,Ás vezes as peças selecionadas não iam para a área selecionada
57,65,Jogo muito interessante e educativo
57,66,"Em relação à maneira manual acredito que não, pois tendo contato com a peça a jogabilidade é melhor e é mais fácil para manusear as peças"
58,62,"4"
58,63,"8"
58,64,"9"
58,65,"9"
58,66,"9 ela facilita as atividades que são necessárias do dia a dia."
60,62,Nenhuma
60,63,Curiosidade
60,64,Dificuldades ao tentar pegar os objetos
60,65,Não
60,66,"Ela pode ajudar, as não pode se a única"
59,62,Muitas vezes tive dificuldade de pegar e virar a peça.
59,63,Muito divertido e diferente sensação pois munca havia usado um óculos holográfico.
59,64,"A dificuldade foi, no início, pegar a peça e colocar no lugar."
59,65,Uma calibração do movimento das mãos poderia melhorar a interação.
59,66,Sim porque não precisa de bloco físico.
61,62,Era um pouco difícil de soltar os objetos.
61,63,Era fácil de agarrar e ver as  formas geométricas
61,64,Está a um pouco difícil de soltar a peça.
61,65,Não possuo.
61,66,Não tive experiência com outras soluções.
63,63,A interação com os objetos virtuais e ao mesmo tempo ver a realidade proporciona uma sensação boa e de segurança
63,65,Não teve som. O som pode ajudar em algumas percepções
63,66,"Sim, pela mistura do real com o virtual"
65,63,"Me senti como parte do ambiente virtual, a experiência foi muito imersiva e empolgante."
68,62,"Os objetos não reagem 100% em relação ao manejamento. Mas era esperado. Então, não foi um problema que gerou frustração."
68,63,É muito interessante usar RA. É como vivenciar um filme futurista.
68,64,"Pouco. Basicamente a resposta das rotações que nem sempre ocorrem como desejado. Ou quando tento pegr o objeto e pego o tabuleiro. Mas o jogo apresenta o sinal de qual objeto está em foco, o que minimiza o problema."
68,65,"Nenhum, além do que prece ser limitação do que gera o problema descrito em Q4."
68,66,"É melhor em relação a quem curte este tipo de tecnologia, como eu, pela fantasia que proporciona. Mas não substitui o toque em relação a performance, caso fosse um problema real a ser resolvido, e não uma diversão."
64,62,Eu não gostei muito da sobreposição da minha mão com alguns objetos e a sobreposição dela com o contorno dela mesma. Acho que uma boa alternativa seria empregar cores um pouco mais sólidas e vibrantes aos blocos para chamar a atenção aos blocos.
64,63,"Foi uma experiência muito divertida, a RM permite realizar movimentos além do que eu esperava o que é muito impressionante, gostei de como é possível fazer inúmeros movimentos e com vários graus de liberdade e como a ausência da influência da gravidade permite com que você mantenha os blocos dentro do seu campo de visão e em uma posição confortável. Outra coisa muito positiva é a possibilidade de girar o espaço de encaixe das peças."
64,64,"Eu enfrentei um pouco de problemas no começo pela sobreposição do contorno das minhas mãos com o preenchimento delas. Algumas vezes durante o jogo eu acabava sem querer mandando as peças velozmente pra longe, além disso tinha vezes que a peça chegava tão perto que parecia grudar no meu rosto, mas pelo menos era fácil de tirar."
64,65,"Tornar os blocos com uma cor um pouco mais sólida e vibrante ou torná-los mais realistas com reflexos. Poderia haver um botão de dicas para usuários que desejassem uma ajuda com o problema. O uso de fones de ouvido que permitem a passagem do som externo o jogador seria legal, pois amplificaria a intensidade e imersividade do som. Algo ainda que está sendo pesquisado, mas seria uma adição legal seriam luvas que permitem a sensibilidade ao toque do objeto virtual, simulando o formato e comportamento do bjeto em sua mão."
64,66,"Para tal jogo sim, ela permite a total mobilidade do objeto em diversos graus de liberdade e pela ausência de gravidade permite mantê-los dentro do camp de visão deixando o jogador em uma posição confortável."
66,62,"Em alguns momentos o reconhecimento dos gestos falhava ou não fazia exatamente aquilo que eu queria, e os textos pequenos não estavam legíveis."
66,63,"Experiência divertida, intuitiva e fácil de se adaptar."
66,65,Melhorar o reconhecimento de gestos e maior clareza dos textos.
66,66,"Sim, pois além de ser intuitiva e realizar a mesma atividade real, o holograma tem benefícios da criatividade e economia de recursos, como o espaço fisico e os proprios materiais das imersões."
67,62,Em certos momentos foi um pouco complicado girar as peças
67,63,"Superou minhas expectativas, muito útil e interessante. Muito Abrangente de forma positiva"
67,64,"Poucas vezes, na hora de virar as peças"
67,65,Nada em mente. Agradável no geral
67,66,"Sim, acredito que seja melhor em requisitos de segurança no geral e me parece ótimo para fazer testes e treinos"
70,62,Não identifiquei experiências negativas nesta prática.
70,63,"Me senti bem confortável com uso do equipamento e, com o uso, fui me adaptando a forma de seleção dos itens."
70,64,Não.
70,65,"Creio que mais tempo de uso tornaria a experiência mais rica e agradável, mas compreendo as limitações numa coleta de dados para pesquisa."
70,66,"Sim, pois, esta solução mostrou-se prática pois demanda poucos equipamentos materiais visíveis."
69,63,Muito interessante
69,64,Sim. Manuseio
69,65,Uso em maior frequência no cotidiano do ensino
69,66,"NÃO.  A INTERAÇÃO INTERHUMANA AINDA,PRA MIM, É  A MAIS IMPORTANTE."
71,62,Apresentei dificuldades com essa questão tão virtual.
71,63,Vale sempre a experiência.
71,64,Sim. Concentração. Não estou familiarizada com essas questões virtuais.
72,62,"Foi muito satisfatório, entretanto seria interessante a disponibilidade maior de tempo. Durante a experiência, a única coisa que trouxe um leve incômodo foi não poder aproveitar mais. =)"
72,63,"Confortável, prático, resposta rápida do jogo, sem tirar que consigo ver parcialmente o que está acontecendo fora do jogo, dessa forma não me sinto deslocada em relação do ambiente que estou, trazendo sensação de segurança e conforto.
O brilho é confortável e não incomoda os olhos, o som é na medida perfeita (aumentaria pouca coisa para ter maior &#34;imersão&#34;).
Foi agradável a experiência, faria quantas vezes fosse possível!"
72,64,Não obtive problemas nem dificuldades durante o uso da solução holográfica.
72,65,"Aumento do som de efeitos sonoros dos blocos para ter uma proximidade da realidade, ao meu ver estava um tico baixo."
72,66,"Sim! Pois a experiência de uma realidade virtual é inovadora e empolgante, além de não trazer fadiga ao corpo, traz uma vontade imensa de conhecimento, curiosidade e ainda sim, faz com que nós tenhamos um grande interesse em realizar o que nos foi proposto."
75,62,Nada.
75,63,Foi o meu primeiro contato com essa tecnologia. Eu senti vontade de continuar usando. Acho que isso facilitaria muito os meus estudos por exemplo na hora de estudar funções.
75,64,Não.
75,65,Não.
75,66,Não conheço nenhuma outra que seja semelhante a essa tecnologia.
73,62,"Em relação ao óculos o qual após um uso prolongado pode gerar algum desconforto na região abaixo dos olhos e/ou no pescoço pelo peso.
Algumas interações as vezes falhavam de primeira mas nada que atrapalhasse dinâmica do jogo."
73,63,"A interação com o ambiente holográfico foi muito relaxante e ao mesmo tempo intrigante, pensando no propósito de aprendizagem, o jogo &#34;Cubism&#34; proporciona uma ótima ativação cerebral testando a visão espacial para solucionar os desafios.
O fato de enxergar o mundo exterior mesmo estando imerso ao jogo trouxe uma sensação de tranquilidade ao usar o dispositivo, pois eu não estava &#34;cego&#34; em relação ao externo."
73,64,"Tive alguns problemas em relação a seleção de objetos, mas acredito que seja por causa da própria tecnologia e pelo fato de no momento de falha, as peças estarem muito próximas do meu rosto dificultando o funcionamento dos sensores (creio eu)."
73,65,"Não, a solução por si só tem uma finalidade muito bem definida e agradável ao meu perfil de usuário."
73,66,"Sim, o jogo apresentado foi ao mesmo tempo bem divertido e entretido, pois eu mesmo poderia ficar um bom tempo jogando. Por exemplo, se tivesse um dispositivo desses, jogaria sempre pela manha para ativar o cérebro (adoro jogos de estimulo da visão espacial)."
74,62,A solução holográfica não percebe totalmente os movimentos necessários feitos pelo usuário.
74,63,"Foi uma experiência inovadora, permitindo que pessoas que não tem acesso aos equipamentos tenham uma primeira experiência."
74,64,Não.
74,65,Nada adicionar.
74,66,Não tenho experiência com outras soluções para avaliar.
76,62,"Durante e  utilização do sistema, senti dificuldades em pegar os objetos e interagir com eles da maneira como eu queria algumas vezes, por exemplo ao tentar rotacionar ou mexer eu queria utilizar as duas mãos. Ocorreu dele falhar em entender que eu queria pegar tal objeto também"
76,63,"Foi muito divertido, correspondeu as expectativas e me fez querer continuar jogando. Nem vi o tempo passar."
76,64,Já os relatei na Q2
76,65,Melhorar o menu pois é muito pequeno e Melhorar a resposta de interação
76,66,Não conheço outras atividades
77,62,As vezes ficava dificil soltar um objeto
77,63,foi divertido resolver os puzzles
77,64,Não
77,65,Não
77,66,É a única que experimentei.
78,62,Não tive experiências negativas
78,63,"Adorei a trilha sonora, os puzzles são super satisfatórios e desafiadores na medida certa"
78,64,Apenas um leve desconforto na visão e um pouco de fadiga nos braços (por ficar com eles levantados)
78,65,Não
78,66,"Sim, muito mais imersiva"
80,62,Nenhuma a ser relatada
80,63,Me diverti e desafiei a mim mesmo com os quebra-cabeças
80,64,"Em alguns momentos, as peças ficavam presas à minha mão"
81,62,Nenhuma experiência negativa
81,63,"Foi muito legal poder interagir com as peças do jogo e ser totalmente imersivo ao mundo ao meu redor, gostei bastante"
81,64,"O única dificuldade foi em relação a conseguir aprender em como ordenar as peças do quebra cabeça (girar e posicionar de maneira adequada),mas para aprender levou apenas alguns segundos"
81,65,Nenhum
81,66,"Sim, porque essa solução permite ao usuário enxergar o mundo ao redor e ainda interagir com objetos virtuais"
83,62,Um pouco de desconforto por utilizar óculos de grau e um pouco de dificuldade para deixar a peça na posição adequada.
83,63,"Me diverti bastante, tanto que nem vi o tempo passar."
83,64,"Um pouco de dificuldade para ajeitar a posição das peças em alguns casos, como rotaciona-la."
83,65,"Recomendaria para outras pessoas, divertido, intuitivo e simples de usar."
83,66,"Não sei opinar sobre isso, é a primeira vez que tenho contato com soluções holográficas."
82,63,Fácil e rápida compreensão de como utilizar o equipamento
84,62,"1)Design feio.
2)Difícil no começo a sensibilidade de tocar as peças. 
3)Estranheza quanto a coordenação motora fina (movimento de segurar as peças).
4)Estranheza com touch (algo perto disso) ser muito sensível dificultava manter a peça encaixada e encaixa  na área transparente. 
5)quebra cabeça foi difícil kkk.
6)Óculos pequeno pra quem usa óculos, difícil de encaixar"
84,63,"1)Imersivo
2)Sensação de felicidade e prazer extremas
3)Cores agradáveis das peças 
4)Muito legal rodar as peças"
84,64,Não
84,65,Acredito que maior facilidade com as mãos para interagir seria bom
84,66,"Não, tempo gasto para acostumar com o toque das peças, o que pode gerar sentimentos de desistência (fiquei pq nunca tinha visto, cavalo dado não se olha os dentes).

Obrigado"
62,62,"Interação com os objetos foi um pouco difícil, pois era necessário rotacioná-los até a posição desejada; Durante a realização do experimento senti um leve desconforto no ombro."
62,63,"Pude experimentar uma experiência de realidade aumentada, mas sem fugir do ambiente real."
62,64,Não.
62,65,"Em relação aos objetos dispostos no jogo de realidade aumentada com objetivo de evitar cansaço nas articulações, seria interessante ter opções de rotações a partir de um toque no objeto &#34;selecionado&#34;, por exemplo, 90°, 180°."
86,62,"Falta de colisão com outros objetos físicos em volta, só havia interação com a ponta dos dedos indicador e polegar"
86,63,"Me diverti e foi uma experiência bem &#34;futurista&#34;, bem coisa de filme do Homem de Ferro"
85,62,"Durante a interação com os objetos, as vezes o objeto piscava u mudava se posição de forma brusca e inesperada. O feedback de toque e a interação de segurar o objeto poderia ser mais enfática. A tarefa parecia mais ser relacionada a noção espacial. Pessoas que não têm essa habilidade pode se decepcionar com o sistema e gerar viés na pesquisa."
85,63,Divertido e bem apresentado na tela.
85,64,Não.
85,65,Nao
85,66,Não sei dizer. Os gestos não ar podem gerar desconforto após interações mais linhas.
88,62,às vezes a hit box era grande demais e aí acabava atrapalhando a montar o quebra cabeça.
88,63,foi divertido. uma evolução mesmo para todas as areas. pratico
88,64,nao
88,65,poderia diminuir um pouco a hit box
88,66,"se torna divertido pela novidade e pela musica de fundo, além de ser realidade misturada"
87,62,"Não gosto da distorção que é feita envolta da minha mão, isso tira um pouco a sensação do 3D no ambiente. Dói os braços também."
87,63,"Fácil instalação, não possui fios e veste muito bem."
87,64,"Sim, as vezes o menu da meta abria sem é querer."
87,65,Remover essa distorção envolta das minhas mãos e braços.
87,66,Essa foi minha primeira experiência XR.
90,62,"Meu anel causou problemas na identificação do meu toque, fazendo com que a peça ficasse visualmente instável."
90,63,"Foi muito divertido e interessante, extremamente futurista."
90,64,"Meu anel causou problemas na identificação do meu toque, fazendo com que a peça ficasse visualmente instável."
90,65,O acompanhamento de outros acessórios que aperfeiçoem a capacidade de identificação e sensorial do objeto.
90,66,Nunca experimentei outras versões com óculos.
89,62,Teve leves momentos em que eu pegava os blocos e aproximava perto da face e sentia uma tontura rápida
89,63,A experiência de assimilar o mundo virtual com a realidade é muito insana
89,64,Não
89,65,Fazer algo em que podemos andar e usar
89,66,"Não pois o intuito do jogo do cubismo era se divertir e estimular o cérebro, acredito que se tivesse outra atividade holográfica com outro objetivo isso não se tornaria algo melhor."
91,62,Não houve nenhuma.
91,63,"Senti muito conforto e segurança,"
91,64,Não houve nenhum.
91,65,Creio que em questão da distância dos objetos.
91,66,"Ainda não tive outras oportunidades, então essa foi a melhor até o momento."
92,62,Tive dificuldade para segurar os objetos virtuais.
92,63,Tudo mais foi muito divertido.
92,64,Ver questão 2.
92,65,Não tenho experiência suficiente para tanto.
92,66,Nunca utilizei nenhuma além desta.
93,62,As vezes o dispositivo entendia errado os meus comandos
94,62,N/A
94,63,"O equipamento foi confortável de usar, o jogo foi fácil de aprender, responsivo e divertido"
94,64,Não
96,62,"Senti formigamento nas mãos enquanto utilizava a solução, mas não afetou na experiência."
96,63,Muito divertido e inovador
96,64,Não
96,65,"Fazer outros tipos de quebra-cabeças, utilizando talvez retratos famosos"
96,66,Não sei opinar
95,62,Faltou um tutorial de uso.
95,63,"Desafio, entretenimento."
95,64,"Sim, ao começar o jogo que não apresentava a forma. Não estava centralizado a tela do jogo.
Ao tentar selecionar a forma, selecionava o campo."
95,66,Não sei dizer.
97,62,Nenhuma
97,63,"Achei bem criativa e interessante de ser implementada, sinto que ajudou na concentração"
97,64,"No início foi meio complicado de entender como usar o toque, mas com o passar das fases foi ficando mais fácil"
97,65,Uma sugestão pensando em implementar essa solução para pessoas não acostumadas com certos tipos de tecnologia seria algo como um tipo de tutorial ou uma parte dentro do próprio equipamento para ajudar quem tiver mais dificuldade
97,66,Acredito que sim porque é mais interativa e dá a sensação de que o usuário é mais participativo no uso
100,62,"Com o passar do tempo a atividade se tornou cansativa, também senti um desconforto no pescoço e braços."
100,63,"Boa interação com o software, qualidade do dispositivo."
100,64,Dor no pescoço.
100,65,A manipulação dos objetos não é tão acertiva.
100,66,Não sei explicar.
98,63,O jogo é divertido e fácil de aprender
98,64,Aprender a interagir com os blocos levou um tempo mas não é nada impossível
99,62,Alguns movimentos de giros dos objetos nem sempre foram reconhecidos
99,63,"É de fácil interação, bem intuitivo e quase todos os movimentos feitos foram reconhecidos"
99,64,Apenas um leve cansaço pelos movimentos repetitivos e poucos movimentos com giros não foram reconhecidos facilmente
99,65,Simular mais atividades que pareçam com o dia-a-dia
99,66,"Acredito que por se tratar por uma simulação em 3D, os movimentos &#34;reais&#34; tendem a ser mais compreensivos"
101,62,"Entender inicialmente como interagir, porém com um leve uso já ficou totalmente compreensível."
101,63,"Imersão e interatividade, me senti totalmente imerso mas sem perder tanto o senso do mundo real e consegui interagir com tudo que queria de maneira eficiente."
101,64,"Não sabia como iniciar, mas percebi intuitivamente como iniciar."
101,65,Melhorar a qualidade das imagens do &#34;mundo real&#34; (não desfocar tanto o vídeo).
101,66,"Sim, já testei AR mas nunca tive tanta imersão."
102,62,"Quando a mão chegava mais perto do rosto ou fora do campo de visão da meta task, dava meio que um aviso e aparecia uma imagem da mão vermelha avisando que a mão saiu do campo de visão, o que achei bem desnecessário, pois isso incomoda um pouco a visão e normalmente no mundo real a mão vai para fora do campo de visão com frequência, então receber esse aviso sempre é um pouco chato."
102,63,"É muito interessante aprender a mexer na hora, quando eu clico e seguro no bloco, a gente não percebe com o tato que está segurando, porem o bloco acompanha perfeitamente a mão, e quando solta mais os dedos(abre os dedos) o bloco se solta também e fica flutuando no ar"
102,64,"Um bloco que coloquei mais para baixo no espaço que me foi colocado, ficou meio travado, quando eu tentava pegar o bloco ele não vinha ou vinha o espaço todo."
102,65,"Acho que ter a opção de deixar o mundo real colorido também, isso daria mais imersão e seria um desafio a mais, podendo colocar a peça em um certo lugar e depois ficar procurando ela, pois ela se camuflou no ambiente rs"
